id,sex,age,city,country,friend_count,followers_count,pages,groups,posts_last_year,posts_likes,photos_last_year,photo_likes
798549018,2,24,60,1,0,0,0,1,0,0,0,0
798541505,2,22,60,1,0,0,0,0,0,0,2,0
798494704,2,20,60,1,0,0,0,0,0,0,0,0
798455616,2,23,60,1,0,0,0,0,0,0,0,0
798440394,2,22,60,1,0,0,0,0,0,0,0,0
798318472,2,22,60,1,0,0,0,0,0,0,0,0
798297671,2,23,60,1,0,0,0,0,0,0,0,0
798295131,2,22,60,1,0,0,1,1,0,0,0,0
798292022,2,22,60,1,5,3,2,4,1,1,2,2
798289541,2,22,60,1,0,0,0,0,0,0,0,0
798267579,2,21,60,1,0,0,1,1,0,0,0,0
798254423,2,23,60,1,0,0,0,0,0,0,0,0
798249827,2,19,60,1,0,0,0,0,0,0,0,0
798234966,2,22,60,1,0,2,0,0,0,0,0,0
798210505,2,23,60,1,0,0,1,1,0,0,0,0
798173159,2,23,60,1,1,0,0,0,0,0,0,0
798168252,2,19,60,1,0,2,1,1,1,0,0,0
798166729,2,22,60,1,0,0,0,0,0,0,0,0
798089052,2,23,60,1,0,1,0,0,0,0,0,0
798083632,2,24,60,1,0,0,0,1,1,0,2,0
798081295,2,23,60,1,0,0,0,0,0,0,0,0
798076468,2,22,60,1,9,1,2,5,1,2,1,2
798045709,2,23,60,1,2,1,27,58,1,0,1,0
798026992,2,22,60,1,0,1,4,4,1,0,1,0
797986394,2,23,60,1,0,0,0,1,0,0,0,0
797984492,2,19,60,1,2,1,14,17,0,0,1,1
797974463,2,19,60,1,0,0,0,0,0,0,0,0
797913744,2,24,60,1,0,0,0,0,0,0,0,0
797888253,2,18,60,1,0,0,0,0,0,0,1,0
797884614,2,23,60,1,0,0,0,0,0,0,0,0
797786236,2,23,60,1,0,1,1,2,0,0,0,0
797750324,2,19,60,1,1,0,0,1,1,0,1,0
797708389,2,22,60,1,0,1,1,1,1,0,1,0
797698307,2,21,60,1,0,0,0,0,0,0,0,0
797693596,2,21,60,1,3,1,0,0,2,6,2,6
797692478,2,23,60,1,13,13,0,0,1,0,1,0
797606352,2,23,60,1,0,1,0,10,3,0,1,0
797551143,2,19,60,1,0,0,0,1,0,0,0,0
797525567,2,22,60,1,0,0,1,1,0,0,0,0
797513948,2,24,60,1,0,0,0,0,0,0,0,0
797492657,2,24,60,1,0,2,0,0,12,0,1,0
797466170,2,21,60,1,0,0,0,0,0,0,0,0
797444668,2,24,60,1,0,1,0,0,0,0,1,1
797442129,2,22,60,1,0,0,3,9,0,0,0,0
797438666,2,22,60,1,0,0,0,0,0,0,0,0
797432826,2,18,60,1,0,0,0,0,0,0,0,0
797421174,2,22,60,1,26,3,7,12,0,0,1,2
797401660,2,23,60,1,0,0,0,0,0,0,0,0
797386836,2,20,60,1,0,1,0,0,1,0,1,1
797380350,2,22,60,1,0,0,0,0,0,0,0,0
797378522,2,22,60,1,0,0,0,0,0,0,0,0
797370362,2,22,60,1,0,0,0,0,0,0,0,0
797332286,2,19,60,1,0,0,0,0,0,0,0,0
797327658,2,20,60,1,0,0,0,0,0,0,0,0
797297480,2,24,60,1,0,1,1,2,0,0,0,0
797283520,2,21,60,1,0,0,0,0,0,0,0,0
797227955,2,22,60,1,0,2,0,0,0,0,1,0
797183782,2,18,60,1,0,0,1,6,0,0,0,0
797180241,2,19,60,1,0,0,0,0,0,0,0,0
797141127,2,24,60,1,3,0,0,1,0,0,0,0
797077644,2,22,60,1,2,0,0,0,0,0,0,0
797039223,2,22,60,1,13,1,12,25,2,8,1,5
797025598,2,22,60,1,0,0,0,0,0,0,1,0
797020487,2,22,60,1,0,0,0,0,0,0,0,0
797018552,2,22,60,1,123,6,71,91,5,1,12,1
797003772,2,23,60,1,11,1,2,3,1,1,1,1
796918976,2,23,60,1,1,0,7,95,2,1,1,1
796873947,2,22,60,1,0,0,1,1,0,0,0,0
796870136,2,23,60,1,6,0,9,9,0,0,0,0
796863057,2,22,60,1,0,0,0,0,0,0,0,0
796854163,2,20,60,1,0,0,0,0,0,0,0,0
796851257,2,23,60,1,0,0,0,0,0,0,0,0
796842001,2,23,60,1,0,0,0,0,0,0,0,0
796834286,2,24,60,1,0,0,1,1,0,0,0,0
796798887,2,23,60,1,0,0,0,0,1,0,1,0
796782780,2,22,60,1,1,0,1,1,1,2,1,2
796750241,2,21,60,1,0,0,0,0,0,0,0,0
796739282,2,20,60,1,27,2,0,0,3,15,8,17
796738688,2,20,60,1,35,2,0,0,3,21,9,30
796737987,2,20,60,1,25,0,1,1,3,17,5,19
796684776,2,22,60,1,0,0,0,0,0,0,0,0
796669625,2,23,60,1,0,0,0,0,0,0,0,0
796640914,2,20,60,1,0,2,0,1,5,1,4,1
796624664,2,22,60,1,0,0,1,1,0,0,0,0
796623287,2,19,60,1,0,0,0,0,0,0,0,0
796622488,2,20,60,1,0,1,0,0,0,0,0,0
796585885,2,18,60,1,0,0,1,2,1,1,1,1
796572899,2,18,60,1,0,0,0,1,0,0,0,0
796504733,2,24,60,1,0,1,1,2,1,1,1,1
796496683,2,20,60,1,0,1,0,0,0,0,1,1
796478510,2,21,60,1,0,1,0,0,1,1,1,1
796474825,2,23,60,1,0,1,1,1,1,1,1,1
796471937,2,24,60,1,0,1,1,1,1,2,1,2
796466200,2,20,60,1,1,0,0,0,0,0,0,0
796464098,2,20,60,1,0,0,0,0,0,0,0,0
796452479,2,22,60,1,0,0,0,2,0,0,0,0
796448841,2,22,60,1,0,0,6,7,0,0,0,0
796438126,2,22,60,1,0,0,0,0,0,0,0,0
796431702,2,22,60,1,0,3,1,4,0,0,1,2
796430396,2,20,60,1,0,0,0,0,0,0,0,0
796412263,2,19,60,1,0,0,0,0,0,0,0,0
796408372,2,20,60,1,13,7,243,509,100,2,6,6
796396945,2,23,60,1,0,1,0,0,0,0,0,0
796358658,2,20,60,1,0,0,0,0,0,0,0,0
796327823,2,19,60,1,0,0,0,0,0,0,0,0
796316185,2,20,60,1,0,0,0,0,0,0,0,0
796273068,2,20,60,1,0,0,0,0,0,0,0,0
796263647,2,20,60,1,0,2,0,0,0,0,0,0
796255774,2,19,60,1,0,1,11,12,1,0,1,1
796213433,2,21,60,1,0,5,2,5,0,0,0,0
796209347,2,20,60,1,2,2,0,0,0,0,0,0
796208485,2,24,60,1,0,1,0,0,0,0,0,0
796206853,2,22,60,1,0,1,0,0,0,0,0,0
796204146,2,18,60,1,1,1,10,15,0,0,0,0
796200910,2,22,60,1,15,2,1,2,0,0,1,0
796184822,2,23,60,1,1,2,0,1,1,0,1,0
796183234,2,22,60,1,0,0,0,0,0,0,0,0
796179490,2,24,60,1,0,0,0,0,1,0,1,0
796033642,2,22,60,1,4,1,5,5,0,0,0,0
796000667,2,19,60,1,0,1,0,0,0,0,0,0
795963817,2,23,60,1,0,1,0,2,0,0,0,0
795962172,2,23,60,1,5,1,9,15,0,0,0,0
795956851,2,21,60,1,0,5,0,0,0,0,1,0
795913315,2,22,60,1,1,0,6,10,2,0,2,0
795905290,2,22,60,1,0,1,0,1,0,0,0,0
795889768,2,22,60,1,0,1,0,0,0,0,0,0
795833958,2,19,60,1,2,0,1,1,1,1,1,1
795828123,2,22,60,1,9,1,3,4,1,1,1,1
795825521,2,23,60,1,18,1,0,1,2,2,2,3
795805171,2,18,60,1,4,3,1,3,1,3,3,8
795767656,2,23,60,1,13,3,9,11,4,8,17,15
795756393,2,23,60,1,1,0,0,0,1,0,1,0
795734476,2,22,60,1,0,0,2,2,0,0,0,0
795733270,2,21,60,1,0,1,1,3,1,0,1,0
795726455,2,20,60,1,0,0,0,0,0,0,0,0
795724565,2,22,60,1,0,0,0,0,0,0,0,0
795636622,2,23,60,1,6,0,0,6,1,0,0,0
795576309,2,23,60,1,0,1,1,1,0,0,1,0
795550860,2,22,60,1,0,1,0,0,0,0,0,0
